Date,Arrivals,Occupied,OccPercent,RoomRev,RevPAR,ADR
2022-10-01,40,67,90.54,7163.51,96.8,106.92
2022-10-02,23,29,38.67,2669.72,35.6,92.06
2022-10-03,22,25,34.67,2165.42,28.87,83.29
2022-10-04,23,33,43.42,2981.5,39.23,90.35
2022-10-05,29,40,52.63,3608.22,47.48,90.21
2022-10-06,12,27,35.53,2639.22,34.73,97.75
2022-10-07,65,71,93.42,9627.77,126.68,135.6
2022-10-08,32,72,94.74,10997.2,144.7,152.74
2022-10-09,20,27,35.53,1959.83,25.79,72.59
2022-10-10,16,20,26.32,1643.06,21.62,82.15
2022-10-11,13,20,26.32,3724.72,49.01,186.24
2022-10-12,25,29,38.16,2770.17,36.45,95.52
2022-10-13,22,30,39.47,2947.12,38.78,98.24
2022-10-14,42,56,73.68,6067.68,79.84,108.35
2022-10-15,42,73,96.05,9367.28,123.25,128.32
2022-10-16,10,24,31.58,2188.01,28.79,91.17
2022-10-17,14,20,26.32,1888.15,24.84,94.41
2022-10-18,16,25,32.89,2207.49,29.05,88.3
2022-10-19,22,28,36.84,2011.22,26.46,71.83
2022-10-20,18,28,36.84,2528.96,33.28,90.32
2022-10-21,43,47,61.84,5320.76,70.01,113.21
2022-10-22,46,66,86.84,8078.24,106.29,122.4
2022-10-23,14,29,38.16,2701.49,35.55,93.15
2022-10-24,37,48,63.16,3402.23,44.77,70.88
2022-10-25,47,71,95.95,6218.84,84.04,87.59
2022-10-26,30,54,71.05,4880.58,64.22,90.38
2022-10-27,23,37,48.68,3263.87,42.95,88.21
2022-10-28,37,51,68.0,5794.45,77.26,113.62
2022-10-29,45,72,98.63,8855.61,121.31,122.99
2022-10-30,10,18,23.68,2751.85,36.21,152.88
2022-10-31,18,22,28.95,2960.16,38.95,134.55
2022-11-01,16,20,26.32,-2739.27,-36.04,-136.96
2022-11-02,16,21,28.0,2212.4,29.5,105.35
2022-11-03,22,31,41.33,2547.01,33.96,82.16
2022-11-04,28,34,44.74,3175.08,41.78,93.38
2022-11-05,27,43,56.58,4236.52,55.74,98.52
2022-11-06,20,26,35.53,1973.81,25.97,73.1
2022-11-07,18,22,28.95,1317.9,17.34,59.9
