Date,Arrivals,Occupied,OccPercent,RoomRev,RevPAR,ADR,date,temp,humidity,windSpeed,precip
2022-10-01,40,67,90.54,7163.51,96.8,106.92,2022-10-01,67.6,44.3,8.8,0.0
2022-10-02,23,29,38.67,2669.72,35.6,92.06,2022-10-02,68.4,47.7,7.7,0.0
2022-10-03,22,25,34.67,2165.42,28.87,83.29,2022-10-03,69.7,47.4,7.1,0.0
2022-10-04,23,33,43.42,2981.5,39.23,90.35,2022-10-04,71.6,48.7,7.2,0.0
2022-10-05,29,40,52.63,3608.22,47.48,90.21,2022-10-05,73.2,45.7,7.9,0.0
2022-10-06,12,27,35.53,2639.22,34.73,97.75,2022-10-06,75.4,44.9,5.0,0.0
2022-10-07,65,71,93.42,9627.77,126.68,135.6,2022-10-07,75.3,47.4,8.1,0.0
2022-10-08,32,72,94.74,10997.2,144.7,152.74,2022-10-08,71.1,47.2,9.6,0.0
2022-10-09,20,27,35.53,1959.83,25.79,72.59,2022-10-09,69.0,57.9,7.2,0.0
2022-10-10,16,20,26.32,1643.06,21.62,82.15,2022-10-10,75.5,51.2,12.6,0.0
2022-10-11,13,20,26.32,3724.72,49.01,186.24,2022-10-11,75.4,53.1,16.1,0.0
2022-10-12,25,29,38.16,2770.17,36.45,95.52,2022-10-12,79.6,54.7,13.2,0.0
2022-10-13,22,30,39.47,2947.12,38.78,98.24,2022-10-13,71.5,33.2,11.3,0.0
2022-10-14,42,56,73.68,6067.68,79.84,108.35,2022-10-14,71.5,39.4,10.7,0.0
2022-10-15,42,73,96.05,9367.28,123.25,128.32,2022-10-15,80.5,56.4,13.5,0.0
2022-10-16,10,24,31.58,2188.01,28.79,91.17,2022-10-16,69.8,78.8,16.8,0.254
2022-10-17,14,20,26.32,1888.15,24.84,94.41,2022-10-17,64.1,45.0,14.6,0.0
2022-10-18,16,25,32.89,2207.49,29.05,88.3,2022-10-18,54.9,33.5,14.9,0.0
2022-10-19,22,28,36.84,2011.22,26.46,71.83,2022-10-19,53.2,34.3,9.2,0.0
2022-10-20,18,28,36.84,2528.96,33.28,90.32,2022-10-20,65.9,40.9,13.3,0.0
2022-10-21,43,47,61.84,5320.76,70.01,113.21,2022-10-21,70.4,48.7,14.9,0.0
2022-10-22,46,66,86.84,8078.24,106.29,122.4,2022-10-22,74.4,57.0,22.0,0.0
2022-10-23,14,29,38.16,2701.49,35.55,93.15,2022-10-23,76.7,60.2,24.2,0.0
2022-10-24,37,48,63.16,3402.23,44.77,70.88,2022-10-24,68.2,86.8,18.2,2.374
2022-10-25,47,71,95.95,6218.84,84.04,87.59,2022-10-25,59.0,57.3,27.3,0.017
2022-10-26,30,54,71.05,4880.58,64.22,90.38,2022-10-26,58.5,58.4,7.9,0.0
2022-10-27,23,37,48.68,3263.87,42.95,88.21,2022-10-27,61.3,52.4,13.8,0.0
2022-10-28,37,51,68.0,5794.45,77.26,113.62,2022-10-28,56.7,82.2,15.1,2.033
2022-10-29,45,72,98.63,8855.61,121.31,122.99,2022-10-29,58.3,90.3,15.4,0.117
2022-10-30,10,18,23.68,2751.85,36.21,152.88,2022-10-30,62.7,71.4,9.4,0.0
2022-10-31,18,22,28.95,2960.16,38.95,134.55,2022-10-31,63.2,63.5,5.4,0.0
2022-11-01,16,20,26.32,-2739.27,-36.04,-136.96,2022-11-01,65.1,65.3,11.9,0.0
2022-11-02,16,21,28.0,2212.4,29.5,105.35,2022-11-02,64.6,79.5,11.4,0.0
2022-11-03,22,31,41.33,2547.01,33.96,82.16,2022-11-03,71.0,80.7,15.2,0.0
2022-11-04,28,34,44.74,3175.08,41.78,93.38,2022-11-04,68.6,82.4,25.3,0.694
2022-11-05,27,43,56.58,4236.52,55.74,98.52,2022-11-05,54.0,65.8,11.9,0.0
2022-11-06,20,26,35.53,1973.81,25.97,73.1,2022-11-06,65.9,68.5,11.8,0.0
2022-11-07,18,22,28.95,1317.9,17.34,59.9,2022-11-07,71.0,95.2,10.6,0.209
2022-11-08,18,27,35.53,2052.48,27.01,76.02,2022-11-08,72.1,88.6,8.7,0.0
2022-11-09,24,31,40.79,2794.81,36.77,90.16,2022-11-09,73.0,76.6,14.6,0.0
2022-11-10,22,39,51.32,3251.49,42.78,83.37,2022-11-10,69.4,83.0,13.7,0.0
2022-11-11,33,42,55.26,3822.98,50.3,91.02,2022-11-11,50.9,80.5,19.7,0.444
